fund_symbol,fund_category,investment_type,size_type,incept_year,vol_3mth,net_assets,pb_ratio,pe_ratio,fund_return,alpha_3yr,beta_3yr,ann_ret_3yr,std_3yr,sharpe_3yr,treynor_3yr
ASEA,"Pacific/Asia ex-Japan Stk",Value,Large,2011,13730,33818980,1.47,16.77,0,-8.75,1.09,0.22,21.25,0.06,-0.8
ASHR,"China Region",Blend,Large,2013,3171712,2773868032,2.29,18.01,0.01,9.26,0.79,1.48,22.73,0.73,19.33
ASHS,"China Region",Blend,Medium,2014,10946,40269792,1.98,19.45,0.08,5.6,0.68,1.09,24.12,0.49,14.25
ASHX,"China Region",Growth,Large,2015,1069,15479985,2.41,19.33,0.04,12.06,0.75,1.69,22.5,0.84,24.12
ASPY,"Long-Short Equity",Blend,Large,2021,7332,3279288,4.65,23.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AWAY,"Consumer Cyclical",Blend,Medium,2020,288193,381284480,4.65,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL
AZAA,"Large Blend",Blend,Large,2020,2035,18157956,4.26,25.99,0.07,NULL,NULL,NULL,NULL,NULL,NULL
AZAJ,"Large Blend",Blend,Large,2020,15379,41533828,4.27,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AZAL,"Large Blend",Blend,Large,2020,3411,30547872,4.28,26.06,0.04,NULL,NULL,NULL,NULL,NULL,NULL
AZAO,"Large Blend",Blend,Large,2020,14720,33549998,4.26,25.99,0.06,NULL,NULL,NULL,NULL,NULL,NULL
AZBA,"Large Blend",Blend,Large,2020,1961,24564352,4.27,26.01,0.03,NULL,NULL,NULL,NULL,NULL,NULL
AZBJ,"Large Blend",Blend,Large,2020,9770,55607812,4.27,26.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AZBL,"Large Blend",Blend,Large,2020,2795,22474416,4.27,26,0.02,NULL,NULL,NULL,NULL,NULL,NULL
AZBO,"Large Blend",Blend,Large,2020,15166,30840740,4.26,25.99,0.03,NULL,NULL,NULL,NULL,NULL,NULL
BBC,Health,Growth,Small,2014,4833,42532132,3.98,NULL,0.01,0.1,1.36,1.7,35.69,0.54,10.31
BBEU,"Europe Stock",Blend,Large,2018,399650,8554058240,2.02,20.98,0.14,-0.58,1.08,0.89,19.56,0.48,7.37
BBIN,"Foreign Large Blend",Blend,Large,2019,130041,3493609216,1.8,20,0.1,NULL,NULL,NULL,NULL,NULL,NULL
BBJP,"Japan Stock",Blend,Large,2018,832470,8577313792,1.41,17.27,0.01,-0.28,0.75,0.66,15.39,0.43,7.68
BBMC,"Mid-Cap Blend",Blend,Medium,2020,23222,1689578240,3.17,22.85,0.15,NULL,NULL,NULL,NULL,NULL,NULL
BBP,Health,Growth,Small,2014,1341,26683864,4.92,NULL,0,-4.87,0.98,0.84,26.6,0.33,5.74
BBRE,"Real Estate",Blend,Medium,2018,42324,1465035904,2.6,40.14,0.22,-2.31,0.9,0.97,19.69,0.53,9.75
BEDZ,"Consumer Cyclical",Blend,Medium,2021,10535,7723598,3.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BETZ,"Consumer Cyclical",Growth,Medium,2020,155370,418377088,4.35,29.96,0.17,NULL,NULL,NULL,NULL,NULL,NULL
BFOR,"Mid-Cap Growth",Blend,Medium,2013,2943,142525216,3.42,15.7,0.19,-8.19,1.2,1.19,23.29,0.56,9.13
BFTR,"Mid-Cap Growth",Growth,Medium,2020,2243,23180106,8.49,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL
BIB,"Trading--Leveraged Equity",Growth,Medium,2010,60682,270422208,NULL,NULL,0.14,-4.42,1.81,2.41,47.27,0.58,10.24
BIBL,"Large Blend",Blend,Large,2017,31775,247182752,4.97,32.87,0.17,0.63,0.98,1.61,18.64,0.96,18.11
BICK,"Diversified Emerging Mkts",Blend,Large,2010,33709,93996840,2.33,18.42,0.09,4.49,1.26,1.45,23.92,0.68,11.43
BIZD,Financial,Value,Small,2013,159637,459326880,1.15,5.38,0.28,-5.66,1.55,1.45,32.35,0.5,7.05
BJK,"Consumer Cyclical",Growth,Medium,2008,25253,153854992,3.51,NULL,0.13,-11.5,1.64,1.06,33.41,0.34,3.76
BKEM,"Diversified Emerging Mkts",Blend,Large,2020,3058,42156872,2.1,17.16,0.07,NULL,NULL,NULL,NULL,NULL,NULL
BKIE,"Foreign Large Blend",Blend,Large,2020,11959,66118812,1.91,20.07,0.11,NULL,NULL,NULL,NULL,NULL,NULL
BKLC,"Large Blend",Blend,Large,2020,16274,317043456,4.88,27.26,0.15,NULL,NULL,NULL,NULL,NULL,NULL
BKMC,"Mid-Cap Blend",Blend,Medium,2020,2358,107411528,3.4,23.05,0.16,NULL,NULL,NULL,NULL,NULL,NULL
BKSE,"Small Blend",Blend,Small,2020,7524,121826232,2.62,19.1,0.16,NULL,NULL,NULL,NULL,NULL,NULL
BLCN,Technology,Growth,Large,2018,43546,312433312,3.37,21.27,0.17,11.18,1.2,2.43,23.82,1.17,24.03
BLOK,Technology,Growth,Medium,2018,536306,1153367040,5.31,25.56,0.36,17.52,1.33,3.11,34.03,1.06,27.13
BMAR,"Large Blend",Blend,Large,2020,4575,67288312,4.42,26.45,0.11,NULL,NULL,NULL,NULL,NULL,NULL
BMAY,"Large Blend",Blend,Large,2020,7843,87937592,4.42,26.45,0.05,NULL,NULL,NULL,NULL,NULL,NULL
BMED,Health,Growth,Medium,2020,1545,7247944,5.72,36.76,0.01,NULL,NULL,NULL,NULL,NULL,NULL
BOB,"Large Blend",Value,Medium,2021,1793,14130040,1.85,15.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BOSS,"Mid-Cap Growth",Growth,Medium,2017,3341,11577862,4.84,25.96,0.17,0.67,1.24,1.99,25.34,0.89,17.4
BOTZ,"Miscellaneous Sector",Growth,Large,2016,635325,2581059840,4.14,47.48,0.06,1.29,1.18,1.6,23.97,0.74,13.82
BRF,"Latin America Stock",Blend,Medium,2009,13867,51909700,1.84,15.9,0.16,6.03,1.58,1.83,39.94,0.52,8
BRZU,"Trading--Leveraged Equity",Blend,Large,2013,286354,223097872,2.42,13.27,0.16,-13.76,2.74,3,101.4,0.34,-14.78
BTEC,Health,Growth,Small,2016,12400,176196640,5.33,NULL,0.04,5.01,1.21,1.93,30.04,0.73,16.04
BTEK,Technology,Growth,Large,2020,4595,20761084,9.58,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL
BUFF,"Large Value",Blend,Large,2016,12737,53915320,4.42,26.46,0.05,-7.11,0.82,0.72,20.16,0.37,6.61
BUL,"Mid-Cap Blend",Growth,Medium,2019,1017,3809692,6.33,23.77,0.18,NULL,NULL,NULL,NULL,NULL,NULL
CACG,"Large Growth",Growth,Large,2017,6029,225621072,6.69,32.37,0.13,0.91,0.98,1.63,18.64,0.98,18.48
CALF,"Small Value",Value,Small,2017,127859,403871616,1.94,11.19,0.43,-5.56,1.38,1.68,29.02,0.65,11.52
CARZ,"Consumer Cyclical",Value,Large,2011,16356,69548528,1.13,13.78,0.17,1.26,1.39,1.84,28.45,0.73,13.25
CATH,"Large Blend",Blend,Large,2016,28417,558324800,4.35,27.04,0.16,-0.06,1.01,1.59,18.69,0.95,17.37
CDL,"Large Value",Value,Large,2015,6345,221055552,2.48,17.61,0.21,-6.34,1.03,1.09,20.88,0.57,9.97
CEFA,"Foreign Large Blend",Blend,Large,2020,1109,3208577,1.86,20.38,0.09,NULL,NULL,NULL,NULL,NULL,NULL
CEFS,"Tactical Allocation",Value,Large,2017,17601,74306464,2.11,16.95,0.14,-3.5,1.49,1.06,18.56,0.62,6.93
CEY,"Diversified Emerging Mkts",Value,Large,2017,1103,19686372,1.01,9.47,0.12,-3.36,1,0.6,19.15,0.31,4.28
CFA,"Large Blend",Blend,Medium,2014,13670,705437504,3.73,22.97,0.15,-4.2,1.05,1.31,19.98,0.72,12.68
CFCV,"Large Value",Blend,Large,2020,574,4014858,3.54,22.7,0.18,NULL,NULL,NULL,NULL,NULL,NULL
CGW,"Natural Resources",Blend,Medium,2007,86459,964499072,3.4,32.11,0.15,5.52,0.85,1.56,16.26,1.07,20.7
CHAU,"Trading--Leveraged Equity",Blend,Large,2015,48674,143255232,2.29,18.01,0.04,11.05,1.24,2.86,45.16,0.73,20.99
CHB,"China Region",Growth,Large,2020,1241,6541478,7.63,39.86,0.15,NULL,NULL,NULL,NULL,NULL,NULL
CHGX,"Large Blend",Growth,Large,2017,15306,74164888,5.13,28.18,0.15,1.57,1.04,1.76,19.47,1.02,19.15
CHIC,"China Region",Growth,Large,2009,2748,15963227,2.74,18.12,-0.01,-8.5,0.8,0.02,23.13,-0.04,-4.62
CHIE,"China Region",Value,Large,2009,9477,3066447,0.8,9.43,0.24,-9.84,0.88,-0.04,20.77,-0.08,-4.23
CHIH,"China Region",Growth,Large,2018,3512,22062060,5.95,32.11,0.23,NULL,NULL,NULL,NULL,NULL,NULL
CHII,"China Region",Blend,Large,2009,1000,2740541,1.5,12.61,0.16,2.71,0.7,0.87,17.77,0.51,11.52
CHIK,"China Region",Growth,Large,2018,5135,40597624,4.4,29.94,-0.01,NULL,NULL,NULL,NULL,NULL,NULL
CHIL,"China Region",Growth,Large,2018,3534,13302511,2.81,18.78,0.02,NULL,NULL,NULL,NULL,NULL,NULL
CHIM,"China Region",Value,Large,2010,4251,5298026,1.64,12.9,0.12,4.58,1.07,1.31,28.12,0.51,10.71
CHIQ,"China Region",Growth,Large,2009,132467,891406464,4.4,26.7,-0.01,16.71,1.03,2.29,26.51,0.99,25.02
CHIR,"China Region",Value,Large,2018,9488,4931187,0.84,5.69,-0.02,NULL,NULL,NULL,NULL,NULL,NULL
CHIS,"China Region",Growth,Large,2018,1687,20010448,5.94,30.27,-0.06,NULL,NULL,NULL,NULL,NULL,NULL
CHIU,"China Region",Value,Large,2018,1538,1680215,1.02,12.9,0.12,NULL,NULL,NULL,NULL,NULL,NULL
CHIX,"China Region",Value,Large,2009,41588,55166792,0.63,6.3,0.01,-5.84,0.77,0.21,19.57,0.07,-0.72
CIBR,Technology,Growth,Medium,2015,885022,4061771264,7.74,28.05,0.05,6.27,1.1,1.91,24.33,0.89,18.96
CID,"Foreign Large Value",Value,Large,2015,1441,22978256,1.32,13.91,0.13,-6.3,1.13,0.45,20.67,0.2,1.82
CIL,"Foreign Large Blend",Blend,Large,2015,1230,116710064,1.82,18.77,0.09,-1.64,0.96,0.71,17.14,0.42,6.32
CIZ,"Foreign Large Blend",Blend,Large,2014,2753,42742456,1.82,18.76,0.1,-5.12,0.84,0.33,15.86,0.17,1.78
CLDL,"Trading--Leveraged Equity",Growth,Large,2021,7193,27698024,13.11,40.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CLIX,"Long-Short Equity",Growth,Large,2017,6637,100735736,7.25,28.43,-0.1,8.14,0.63,1.71,23.06,0.84,29.04
CLOU,Technology,Growth,Medium,2019,648720,1395380608,9.45,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL
CLRG,"Large Value",Blend,Large,2017,6590,311727840,3.98,22.81,0.16,-7.56,1.18,1.21,22.44,0.59,9.75
CN,"China Region",Blend,Large,2014,3308,34825720,2.23,16.66,0.03,5.45,0.74,1.13,19.56,0.63,14.99
CNCR,Health,Growth,Medium,2015,4688,47805304,4.78,NULL,0.01,-2.76,1.11,1.17,30.31,0.42,7.98
CNRG,"Equity Energy",Blend,Medium,2018,20041,402314144,2.62,23.55,-0.02,NULL,NULL,NULL,NULL,NULL,NULL
CNXT,"China Region",Growth,Large,2014,7543,54379440,6.99,36.98,0.12,15.69,0.86,2.08,28.79,0.82,25.45
COMT,"Commodities Broad Basket",Value,Small,2014,573766,2454140928,1.29,4.56,0.29,-3.52,1.16,0.17,19.31,0.04,-0.89
COPX,"Natural Resources",Value,Medium,2010,676274,1149898240,1.56,15.84,0.23,-3.05,1.86,2.03,40.7,0.57,8.8
COWZ,"Large Value",Value,Medium,2016,202085,654776704,2.92,15.34,0.28,-5.1,1.21,1.46,24.36,0.67,11.93
CPI,"Tactical Allocation",Blend,Large,2009,6627,53411312,3.54,23.47,0,-3.35,0.33,0.1,4.04,-0.01,-0.33
CRAK,"Equity Energy",Value,Large,2015,5733,21390002,1.33,14.07,0.18,-18.34,1.56,0.4,32.19,0.11,-0.93
CRUZ,"Consumer Cyclical",Value,Medium,2021,28630,2260941,2.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CSA,"Small Blend",Blend,Small,2015,1058,25985688,1.94,15.86,0.22,-8.37,1.22,1.2,25.15,0.52,8.69
CSB,"Small Value",Value,Small,2015,18219,251797376,1.75,16.81,0.22,-5.96,1.15,1.3,24.3,0.59,10.57
CSD,"Mid-Cap Blend",Value,Medium,2006,1367,75436352,2.14,18.31,0.16,-17.1,1.6,1.04,32.65,0.34,3.67
CSF,"Small Blend",Blend,Small,2014,5351,63572452,1.94,15.86,0.21,-4.99,0.86,0.95,19.68,0.52,10.19
CSM,"Large Blend",Blend,Large,2009,6917,481263424,3.55,23.04,0.18,-3.66,1.06,1.36,19.76,0.76,13.34
CSML,"Small Blend",Value,Small,2017,36014,208267120,1.8,14.24,0.23,-13.31,1.41,1.08,29.16,0.4,5.43
CURE,"Trading--Leveraged Equity",Value,Large,2011,88516,167176864,4.99,27.2,0.36,-1.66,2.34,3.42,50.64,0.79,13.4
CUT,"Natural Resources",Value,Medium,2007,12275,110709920,2.12,18.07,0.12,-8.07,1.2,0.83,23.34,0.37,5.28
CVY,"Allocation--70% to 85% Equity",Value,Medium,2006,7461,133014936,1.44,10.65,0.23,-12.12,2.17,0.92,26.54,0.37,2.9
CWS,"Mid-Cap Growth",Blend,Medium,2016,1551,28921190,4.7,27.32,0.07,-1.64,0.9,1.29,17.44,0.81,15.23
CXSE,"China Region",Growth,Large,2012,258890,1159317504,3.8,20.86,0.03,11.1,0.85,1.68,22.92,0.83,21.12
CZA,"Mid-Cap Blend",Blend,Medium,2007,3393,223769872,3.28,21.66,0.18,-5.79,1.1,1.25,22.35,0.62,10.75
DALI,"Tactical Allocation",Growth,Medium,2018,12954,111817024,4.71,24.25,0.17,-6.19,1.57,0.91,20.14,0.48,5.08
DALT,"World Allocation",Growth,Large,2017,8724,68700976,4.36,22.19,0.09,-10.73,1.62,0.57,19.72,0.28,2.23
DAX,"Miscellaneous Region",Value,Large,2014,9179,41716512,1.8,18.91,0.11,-2.34,1.24,0.87,23.1,0.4,5.53
DBAW,"Foreign Large Blend",Blend,Large,2014,13445,128382664,1.94,18.86,0.12,1.7,0.82,0.88,14.8,0.63,10.57
DBEF,"Foreign Large Blend",Blend,Large,2011,489767,3970983936,1.85,20.28,0.14,1.16,0.83,0.84,15.74,0.56,9.69
DBEM,"Diversified Emerging Mkts",Blend,Large,2011,11348,117476512,2.08,16.89,0.07,2.9,0.81,0.97,15.62,0.66,12.04
DBEU,"Europe Stock",Blend,Large,2013,140811,562835072,2.04,21.31,0.16,1.33,0.85,0.87,16.4,0.56,9.79
DBEZ,"Europe Stock",Blend,Large,2014,1191,15077495,1.79,21.98,0.17,0.91,1.04,0.98,19.7,0.53,8.78
DBGR,"Miscellaneous Region",Value,Large,2011,496,14560880,1.76,18.2,0.14,-0.17,1.05,0.9,20.45,0.47,7.51
DBJA,"Large Blend",Blend,Large,2020,2209,14369117,4.69,27.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DBJP,"Japan Stock",Blend,Large,2011,12011,196448480,1.46,17.28,0.08,0.92,0.79,0.79,17.15,0.48,9.02
DBLV,"Large Value",Value,Large,2011,701,48242588,2.15,19.58,0.19,-4.89,1.04,1.22,20.22,0.66,11.78
DBMF,"Managed Futures",Blend,Large,2019,10116,53879924,2.43,24.5,0.11,NULL,NULL,NULL,NULL,NULL,NULL
DBOC,"Large Blend",Blend,Large,2020,11164,38711632,4.85,27.73,0.06,NULL,NULL,NULL,NULL,NULL,NULL
DDIV,"Mid-Cap Value",Value,Medium,2014,22627,43865320,1.67,15.18,0.27,-6.31,1.08,1.17,23.67,0.54,9.68
DDLS,"Foreign Small/Mid Value",Value,Small,2016,4083,41337968,1.27,14.19,0.13,-2.77,1,0.65,18.81,0.35,4.91
DDM,"Trading--Leveraged Equity",Blend,Large,2006,345133,490084000,4.45,22.49,0.28,-10.38,2.03,2.23,39.03,0.65,9.59
DDWM,"Foreign Large Value",Value,Large,2016,15204,161666384,1.7,17.29,0.12,-2.98,0.88,0.54,16.23,0.32,4.57
DEEF,"Foreign Large Blend",Blend,Large,2015,6670,70757744,1.59,15.68,0.09,-1.45,0.94,0.71,16.96,0.43,6.47
DEEP,"Small Value",Value,Small,2014,11445,50408648,1.55,9.37,0.26,-16.8,1.33,0.67,28.95,0.24,1.85
DEF,"Large Blend",Blend,Large,2006,25706,253653840,4.12,23.71,0.11,-2.16,0.87,1.21,16.77,0.79,14.54
DEM,"Diversified Emerging Mkts",Value,Large,2007,202991,2011405312,1.19,8.95,0.13,-2.04,1.03,0.73,19.39,0.39,5.73
DEMZ,"Large Blend",Blend,Large,2020,5743,4115645,4.98,29.79,0.2,NULL,NULL,NULL,NULL,NULL,NULL
DEUS,"Mid-Cap Blend",Value,Medium,2015,27303,196782080,3.08,19.07,0.15,-5.33,1.06,1.22,20.27,0.66,11.4
DFAC,"Large Blend",Blend,Large,2007,595582,13318554624,3.47,22.34,NULL,-4.2,1.13,1.42,21.31,0.74,12.93
DFAI,"Foreign Large Blend",Blend,Large,2020,273211,442612192,1.75,19.32,0.11,NULL,NULL,NULL,NULL,NULL,NULL
DFAS,"Small Value",Blend,Small,1998,94235,3973948672,2.34,17.68,NULL,-9.73,1.25,1.13,25.21,0.49,7.73
DFAT,"Small Value",Value,Small,1998,234261,5914255360,1.66,14.14,NULL,-13.13,1.38,1.05,28.53,0.4,5.44
DFAU,"Large Blend",Blend,Large,2020,311088,946716544,3.95,24.16,0.15,NULL,NULL,NULL,NULL,NULL,NULL
DFEN,"Trading--Leveraged Equity",Value,Large,2017,1114982,366816352,3.2,NULL,0.45,-41.52,3.8,2.25,86.6,0.3,-4.92
DFHY,"High Yield Bond",Value,Large,2020,7733,89427368,4.78,59.99,0.02,NULL,NULL,NULL,NULL,NULL,NULL
DFNL,Financial,Value,Large,2017,11909,208101856,1.33,12.55,0.26,-5.52,1.28,1.13,25.38,0.49,7.54
DFNV,"Large Growth",Growth,Large,2020,12282,86771184,8.58,34.11,0.11,NULL,NULL,NULL,NULL,NULL,NULL
DFUS,"Large Blend",Blend,Large,2001,96059,5584181248,4.38,25.55,NULL,-0.79,1.05,1.58,19.44,0.91,16.52
DGRE,"Diversified Emerging Mkts",Blend,Large,2013,10482,96258128,2.14,14.85,0.07,0.25,0.99,0.89,19.22,0.49,8.07
DGRO,"Large Value",Value,Large,2014,1297920,19184340992,3.59,22.14,0.14,-0.92,0.94,1.42,17.98,0.88,16.25
DGRW,"Large Blend",Value,Large,2013,269591,5929164800,5.8,23.46,0.12,-1.14,0.92,1.37,17.48,0.87,15.99
DGS,"Diversified Emerging Mkts",Value,Medium,2007,161403,2239056128,1.25,10.56,0.16,-0.9,1.12,0.89,21.21,0.45,6.74
DIA,"Large Value",Blend,Large,1998,4483416,30459787264,4.45,22.49,0.14,-2.94,0.98,1.31,18.76,0.77,13.88
DIAL,"Multisector Bond",Blend,Small,2017,280043,1153437056,1.9,16.86,-0.01,1.35,1.12,0.59,5.65,1.04,5.33
DIG,"Trading--Leveraged Equity",Value,Large,2007,81833,232619776,NULL,NULL,1.01,-63.05,3.64,0.22,82.2,0.02,-8.21
DINT,"Foreign Large Blend",Blend,Large,2018,38269,310793280,2.1,19.03,-0,-1.28,1.05,0.81,20.68,0.41,6.33
DIV,"Mid-Cap Value",Value,Medium,2013,159330,691637056,2.29,15.55,0.21,-18.98,1.26,0.37,28.01,0.12,-1.01
DIVA,"Long-Short Equity",Value,Medium,2015,259,3610896,2.26,19.48,0.09,-5.64,0.52,0.4,12.58,0.28,5.52
DJD,"Large Value",Value,Large,2015,20117,165111808,3.9,21.18,0.17,-3.09,0.9,1.18,18.13,0.71,13.32
DMDV,"Foreign Large Value",Value,Large,2018,224,2494907,1.12,12.59,0.15,NULL,NULL,NULL,NULL,NULL,NULL
DMRE,"Diversified Emerging Mkts",Blend,Large,2019,162,54995444,1.97,16.23,0.06,NULL,NULL,NULL,NULL,NULL,NULL
DMRI,"Foreign Large Blend",Blend,Large,2017,567,186709472,1.84,19.99,0.09,-3.52,0.7,0.35,13.33,0.22,3.12
DMRL,"Large Blend",Blend,Large,2017,2519,414012928,4.42,26.46,0.13,0.79,0.57,1.02,12.2,0.89,18.87
DMRM,"Mid-Cap Blend",Blend,Medium,2017,498,100143344,2.74,21.91,0.11,-6.87,0.58,0.38,12.93,0.26,4.51
DMRS,"Small Blend",Blend,Small,2017,3646,45791432,2.2,17.53,0.11,-8.79,0.56,0.2,13.11,0.09,0.54
DMXF,"Foreign Large Blend",Blend,Large,2020,23588,182116208,2.15,20.88,0.08,NULL,NULL,NULL,NULL,NULL,NULL
DPST,"Trading--Leveraged Equity",Value,Small,2015,1203285,477719424,1.36,14.36,0.78,-46.72,3.82,1.84,99.37,0.21,-9.05
DRIV,"Miscellaneous Sector",Blend,Large,2018,499616,972385216,2.73,24.75,0.18,6.44,1.44,2.33,27.98,0.95,17.87
DRN,"Trading--Leveraged Equity",Blend,Medium,2009,199364,162109920,2.98,41,0.71,-21.04,2.51,2.05,58.31,0.4,0.41
DRW,"Global Real Estate",Value,Large,2007,11361,60848824,0.97,10.44,0.06,-11.97,0.93,0.2,19.56,0.06,-0.92
DSJA,"Large Blend",Blend,Large,2020,433,4987178,4.7,27.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DSOC,"Large Blend",Blend,Large,2020,7124,22197800,4.85,27.74,0.09,NULL,NULL,NULL,NULL,NULL,NULL
DSTL,"Large Blend",Blend,Large,2018,69066,357571968,5,24.04,0.15,NULL,NULL,NULL,NULL,NULL,NULL
DTEC,Technology,Growth,Large,2017,16246,230687152,5.65,39.59,0.05,4.33,1.16,1.82,22.85,0.9,17.14
